pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,launch_speed,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,if_fielding_alignment,of_fielding_alignment,spin_axis,bat_speed,swing_length,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,hard_hit,batter_get_out
SI,95.4,-2.77,5.64,field_out,hit_into_play,6,R,R,X,3,2,-1.33,0.63,0.4983917461095204,2.4673940194182205,11.681600083558834,-138.37932733684642,-3.9190719539449104,-19.826998347923023,32.834508468510954,-23.29550459125537,3.312155512,1.671555118,101.5,96.2,1953,7.1,53.42,43,9,Sinker,Standard,Standard,234,75.1,7.6,27,36,3,2,NA,1.9,1.33,1.33,31.5,5.91406847471983,1.0253040907790734,34.70015377781981,40.22493729003509,31.052144866793117,1,1
FC,89.4,1.14,6.09,single,hit_into_play,4,R,L,X,2,1,0.08,0.83,-0.31371985114995227,2.609978823869163,-3.693191180710583,-130.04688258292816,-4.041360614102202,1.744162939310652,31.188282395603704,-22.134176322427123,3.220882546,1.625492126,107.2,88.9,2327,6.3,54.19,48,4,Cutter,Strategic,Standard,171,73.6,7.3,27,25,3,2,NA,2.06,0.08,-0.08,48.6,8.763737643638642,0.8832817139756821,28.903937256151348,34.57661897097923,33.43056937250964,1,0
FF,96.2,-1.57,5.28,double,hit_into_play,6,R,R,X,3,2,-0.57,1.48,0.5060118459984995,2.2442123701947727,6.806114883013353,-139.87675889649563,-5.674088821501693,-9.080101074736394,34.179355049829375,-11.705504529410382,3.255987533,1.643208661,106.1,96.5,2229,6.7,53.8,53,7,4-Seam Fastball,Standard,Standard,213,71.3,7.7,28,30,3,2,NA,1.01,0.57,0.57,38.9,9.405364406699388,6.630543694363498,25.94350244550444,43.205311977290165,22.13124179087979,1,0
FF,93.8,2.7,6.01,single,hit_into_play,2,R,L,X,2,2,0.07,1.47,-0.15121150722074556,2.9585536903776997,-7.488695227650311,-136.32744488437947,-5.273865746500744,2.604031607702221,30.676738500136945,-12.902321895249088,3.136630577,1.582972441,97.8,94.4,2443,6.7,53.76,48,6,4-Seam Fastball,Standard,Standard,146,72.7,7.1,27,28,3,2,NA,1.13,0.07,-0.07,29.2,0.3286724959339233,8.851985703373286,26.02023669978049,35.547224082433175,24.837915186258456,1,0
ST,84,-2.59,5.97,field_out,hit_into_play,6,R,R,X,3,2,1.35,-0.43,0.7904073085737293,2.26764866958747,5.006757170752453,-122.1151947623162,-0.972056503960842,12.230546556328465,27.82058037215256,-36.478476636253234,3.173490814,1.601574803,98.6,83.6,2291,6.5,54.05,38,6,Sweeper,Standard,Standard,35,66.1,7.1,28,26,3,2,NA,3.71,-1.35,-1.35,35.4,2.283862866627949,9.36896607471008,27.481707567057676,41.12928408430366,26.79226131713299,1,1
FS,87.1,-2.13,5.65,field_out,hit_into_play,7,L,R,X,0,0,-0.98,-0.02,-0.2777714474922661,1.8203887481227747,6.5130822614939925,-126.60226687980264,-2.7039547083422466,-11.909994346588704,28.29725420489011,-32.02105785981322,3.208595801,1.619291339,95.5,87.8,1499,7,53.5,45,1,Split-Finger,Infield shade,Standard,239,79.4,8.2,36,29,3,2,NA,3.06,0.98,-0.98,37.6,18.503552574439844,-8.98771670669657,29.90045282752904,43.812560665018125,44.066787476612106,1,1
FF,93.8,0.39,6.72,field_out,hit_into_play,8,R,L,X,1,1,0.5,1.35,0.03668221721301196,2.0772987414954622,-2.0299682775692025,-136.32922784909638,-8.982019309468978,6.695937405163836,32.73016751757333,-13.567813085567922,3.187532808,1.608661417,95.8,93.4,1940,6.3,54.2,47,3,4-Seam Fastball,Standard,Standard,151,69.1,6.8,27,27,3,2,NA,1.27,0.5,-0.5,50.1,5.726827606876086,18.772288201720695,35.12410964288969,40.45992817344011,19.752804207169852,1,1
SI,94.4,1.84,5.98,double,hit_into_play,8,R,L,X,1,2,1.57,0.4,0.2360197853914623,1.9844497509493224,-7.754970460529508,-137.2061101832629,-5.465472743450859,21.51092308332701,27.9475474438092,-26.10991414540561,3.196309055,1.613090551,104.4,95.9,2076,7,53.49,46,4,Sinker,Standard,Standard,117,70.4,6.9,30,27,3,2,NA,2.15,1.57,-1.57,32.6,4.413007783895167,8.94766319668507,40.643672696035466,33.27889050544826,26.20598091919615,1,0
FF,90.8,-3.52,5.15,single,hit_into_play,2,L,R,X,2,1,-0.81,1.77,-0.0845559540510068,3.084294815728571,10.23871980348798,-131.69616920479945,-2.774574281228156,-11.900475916247789,34.40238455757269,-11.481162723003395,3.10328084,1.566141732,100.6,89.9,2347,6.4,54.07,39,4,4-Seam Fastball,Strategic,Standard,221,77.2,7.7,30,26,3,2,NA,1.07,0.81,-0.81,29.1,19.31617646418343,-2.572259852178106,21.271897984269454,43.13114126537715,40.645735310165534,1,0
SL,83.5,0.47,6.71,single,hit_into_play,11,L,L,X,0,0,-0.35,-0.03,-0.8412989511650835,2.5095480141190345,-2.2821730902102724,-121.68846571798574,-2.9419805134561106,-3.0128712779537197,23.93972315743303,-32.15150298562805,3.222637795,1.626377953,103.7,83.5,2408,6.2,54.3,46,1,Slider,Standard,Standard,270,71.4,8.2,27,26,3,2,NA,3.29,-0.35,-0.35,48.3,17.915741402525256,-9.93610458045108,23.291161003176718,48.01585845887564,34.25811930088241,1,0
CU,82.4,-2.59,6.15,field_out,hit_into_play,8,R,R,X,2,2,1.14,-1.15,0.05050496259696635,2.0471309401818027,3.6731089797710768,-119.8659904276599,-0.17322978252053267,10.101266522721955,26.504518532453304,-43.326887905012136,3.238435039,1.634350394,106.2,82.7,2414,6.8,53.67,35,6,Curveball,Standard,Strategic,40,NA,NA,27,26,3,2,NA,4.55,-1.14,-1.14,39.5,NA,NA,NA,NA,NA,1,1
FF,90.3,-0.89,6.14,field_out,hit_into_play,2,L,R,X,0,1,-0.65,1.7,0.05510612456216968,3.07495820936733,3.694586223422697,-131.36202212212478,-5.096395092893865,-8.32358229889546,29.768222513379698,-11.628941945479069,3.280561024,1.655610236,99.4,89.3,2338,5.9,54.63,42,2,4-Seam Fastball,Standard,Standard,209,73.3,6.9,31,27,3,2,NA,1.11,0.65,-0.65,42.6,12.214125209982033,2.388640999907867,29.90962258629923,34.98080913774466,25.942752737072393,1,1
SI,94.2,1.81,5.97,single,hit_into_play,8,L,L,X,0,2,1.58,0.56,-0.01184452568931893,2.038051076324628,-8.31993899208552,-136.97795827737323,-5.6233560478440054,21.734524875199284,28.060771353773752,-24.10739920100145,3.217372047,1.623720472,102.3,95.4,2039,6.8,53.66,45,3,Sinker,Strategic,Standard,120,69.8,7.3,30,30,3,2,NA,2,1.58,1.58,31.5,3.948019240500202,14.707424384482966,29.40377896082375,36.0855717817596,22.42977701211258,1,0
FF,94.9,-3.23,5.67,single,hit_into_play,6,L,R,X,1,1,-0.72,1.09,0.5866120850709999,2.8253132377806076,11.521564912763846,-137.85076313635102,-4.1351295733112945,-11.524718707154747,27.099132410111977,-17.44910560417291,3.422736221,1.727362205,95.9,95.7,2399,6.6,53.94,45,3,4-Seam Fastball,Standard,Standard,219,69.9,6.2,27,26,3,2,NA,1.42,0.72,-0.72,37.9,14.347607217289845,-1.237449430639459,37.37755215961029,28.26927547415318,28.604303201470852,1,0
ST,78.5,2.02,5.96,field_out,hit_into_play,8,R,L,X,0,2,-0.62,0.49,0.03098355162817662,1.9227329477153643,-3.115073703959822,-114.24714235009203,-2.475495547759784,-4.686756385596987,24.917784871285356,-27.6613832987076,3.153305446,1.591387795,99.4,NA,1923,NA,53.42,46,4,Sweeper,Standard,Standard,245,73.2,7.9,29,26,3,2,NA,3.27,-0.62,0.62,NA,12.67591820273355,-10.4264803783763,39.05161050825121,37.651808006708386,38.74124201679593,1,1
FF,96.4,-3,5.62,home_run,hit_into_play,1,R,R,X,2,2,-1.34,1.15,-0.5081255868701826,2.9929548643209545,9.703136691040342,-139.89927524110888,-3.835807555065894,-19.88095841462907,34.61761605773788,-16.400213071935518,3.284949147,1.657824803,105.3,96.6,2425,6.8,53.72,47,5,4-Seam Fastball,Standard,Standard,232,73.1,7.2,24,34,3,2,NA,1.33,1.34,1.34,26,13.935094890784438,-12.393045250236147,32.413448121863716,30.50763924775566,38.25281481580815,1,0
FS,83.7,-1.23,6.06,field_out,hit_into_play,11,L,R,X,0,1,-0.6,1.21,-0.4326179713257194,3.6206438690278002,2.9998733565827833,-121.7607839897502,-1.3535435223995165,-6.543561410322077,26.824614126340023,-20.224993555793052,3.344627625,1.687942913,97,82.9,1637,6,54.48,41,2,Split-Finger,Infield shade,Standard,232,70.6,7.5,31,31,3,2,NA,2.08,0.6,-0.6,36.4,15.528178835709689,-0.9159842832334316,20.577990419478095,35.20794037454755,34.501783448657406,1,1
CU,76.7,-2.19,5.73,single,hit_into_play,8,L,R,X,0,0,1.01,-0.9,0.13339285343991514,1.9098338670957204,2.997668029620133,-111.53894880032506,0.9692730830166136,7.680963692532215,23.621123077462443,-40.08059261495452,3.340239501,1.685728347,102,76.6,2071,6.7,53.84,43,1,Curveball,Infield shade,Standard,44,77.1,7.3,36,32,3,2,NA,4.84,-1.01,1.01,38.3,13.888319166421198,-3.3259905526641087,31.98829804729567,37.97139234029277,35.674924699175264,1,0
FS,84,-2.4,5.74,single,hit_into_play,7,R,R,X,0,0,-1.13,0.01,-0.3863515701012401,2.122019757598193,6.9355301006926995,-122.18175466867343,-1.7649480826358313,-12.66325795372582,24.547979626703135,-31.9365106202485,3.23667979,1.633464567,106.4,84.6,1738,6.8,53.74,40,1,Split-Finger,Standard,Standard,223,78.2,8.2,35,26,3,2,NA,3.23,1.13,1.13,34.7,14.41642041319082,-2.287558293921436,38.99681324835328,32.21067173628005,31.183962730917024,1,0
FF,91.7,2.02,6.02,single,hit_into_play,5,R,L,X,2,2,0.69,1.28,-0.09684595732588264,2.18223232498915,-6.79268660874502,-133.3454931311132,-6.446875128649049,9.654185317334198,27.89274370109052,-15.66029206100732,3.068175853,1.548425197,96,91.8,2401,6.3,54.16,45,5,4-Seam Fastball,Standard,Standard,130,69.3,6.5,29,25,3,2,NA,1.43,0.69,-0.69,24.1,17.714650200494773,17.41482187320782,33.04789409658898,34.71919737451627,26.67811244797649,1,0
SI,97.5,-1.95,5.82,field_out,hit_into_play,13,L,R,X,3,2,-1.63,0.67,-0.19141176528383763,1.2989266795110035,8.43960334146839,-141.51174913290666,-7.828198132311053,-23.903122803950627,35.98223858235809,-21.424137880948543,3.366568242,1.699015748,97.5,96.4,2297,6.1,54.43,56,6,Sinker,Infield shade,Standard,232,75,7.6,31,31,3,0,NA,1.76,1.63,-1.63,35.3,-7.555713583231205,12.84697092720707,37.34620100179294,39.60579001150775,18.33727113019256,1,1
FC,86.6,1.44,6.03,field_out,hit_into_play,6,R,L,X,1,1,-0.53,0.36,0.35405044451491946,2.4920901443181234,-1.4354535952293197,-125.94404764539198,-2.635588609849453,-5.23967044372766,30.88803005308339,-28.02527859214063,3.034826116,1.531594488,102.2,85.9,2322,6.4,54.13,41,3,Cutter,Strategic,Standard,183,NA,NA,27,34,3,2,NA,2.74,-0.53,0.53,50.3,NA,NA,NA,NA,NA,1,1
FF,96.5,-1.47,5.76,field_out,hit_into_play,7,L,R,X,1,1,-0.86,0.91,-0.29854179310050843,1.837019469522532,5.077456705127409,-140.33455092021518,-6.716240458569363,-12.49286046140714,33.756980208514726,-18.77164174021627,3.068175853,1.548425197,97,96.4,2149,6.4,54.07,58,3,4-Seam Fastball,Standard,Standard,230,70.6,6.8,28,29,3,2,NA,1.55,0.86,-0.86,37.1,-0.3545635487754385,7.71443010835475,40.74255691664136,38.59099659153375,26.717737625886414,1,1
FF,95.4,2.52,5.86,field_out,hit_into_play,6,R,L,X,0,1,0.8,1.48,0.5970812324771778,2.175191220851665,-6.910151491649047,-138.47406321163774,-7.198979410011472,11.965602447810296,35.390931212698504,-11.742814366743929,3.087483596,1.558169291,100.6,96,2383,7.1,53.41,39,2,4-Seam Fastball,Standard,Standard,133,72.1,7.1,27,29,3,2,NA,1.07,0.8,-0.8,28.2,-1.4954547227569948,13.413726531011118,27.020829704864536,43.436289711802246,20.6363070907296,1,1
KC,83.4,2.56,5.81,single,hit_into_play,14,R,L,X,2,2,0.03,-0.25,0.885579041917718,2.185421683506803,-3.869015836385882,-121.65982238911674,-1.332876869309552,0.8893155760660555,19.070074670091945,-34.62918556623456,3.348138123,1.689714567,103.7,84.6,2441,6.5,54.03,49,6,Knuckle Curve,Standard,Standard,333,77,7.8,33,23,3,2,NA,3.46,0.03,-0.03,31.7,5.3141407730696875,5.038565133027657,35.162603494674684,50.44881904670797,23.83011318414706,1,0
FC,90.5,2.54,6.12,single,hit_into_play,5,R,L,X,0,0,-0.12,0.39,-0.08020376858925063,2.5364843055072366,-6.223564796413408,-131.6241258304754,-3.6346162108516142,-0.10802881227361669,27.65198421310695,-27.12738497844583,3.133120079,1.581200787,98.9,91,2621,6.6,53.88,38,1,Cutter,Standard,Standard,183,75.5,7.2,27,29,3,2,NA,2.4,-0.12,0.12,33.5,15.66094814903422,5.677636949415781,28.043653202546132,39.760018513301674,30.153216389551982,1,0
FF,91.8,2.28,6.02,field_out,hit_into_play,1,R,L,X,0,0,0.39,1.47,-0.28243312037967416,2.660360133544606,-7.235240387886979,-133.41990181328782,-5.639670416202827,6.2984728441605125,29.259801775317563,-13.525761405419148,3.136630577,1.582972441,104.3,91.5,2369,6.2,54.3,42,1,4-Seam Fastball,Standard,Standard,156,74.2,6.4,27,28,3,2,NA,1.24,0.39,-0.39,55.1,12.883065250007268,3.003945764851156,31.022474109137807,34.079043443775696,32.35833988897768,1,1
FF,92.2,2.16,5.98,single,hit_into_play,8,L,L,X,2,2,0.57,1.51,0.2538291899732291,1.8792356460322517,-6.041442881728985,-133.88012311398575,-7.567886562012235,8.28278473663719,33.62368191424282,-12.545185440221442,3.212106299,1.621062992,109,91.5,2307,6.3,54.15,41,5,4-Seam Fastball,Strategic,Standard,158,74.4,7,27,25,3,2,NA,1.22,0.57,0.57,57.8,7.76346566924617,-8.535537854838692,32.691572308975296,31.617271105624205,40.64664387323752,1,0
FF,92,2.53,6.34,field_out,hit_into_play,5,R,L,X,1,2,0.56,1.24,-0.23207130088777872,2.6545086358469874,-8.121819270419557,-133.7160458553079,-6.031202263150409,8.443688269981102,27.08257978047232,-16.193827933487135,3.244578412,1.637450787,96.8,92,2228,6.2,54.31,41,5,4-Seam Fastball,Standard,Standard,150,70.2,7.3,35,33,3,2,NA,1.45,0.56,-0.56,50.2,8.39527843706513,0.03312937760800884,22.979373714003827,35.140799126199845,24.267278832571694,1,1
FS,82.6,-2.4,5.76,single,hit_into_play,14,L,R,X,1,1,-0.91,0.04,0.2264896283391432,1.535662079926503,7.738140965063629,-120.08792455243372,-2.9248626347751543,-10.349626728286482,24.203006968147573,-31.433341945614657,3.382365486,1.706988189,108.3,82.8,1548,6.6,53.95,38,3,Split-Finger,Infield shade,Standard,231,75.5,6.5,35,37,3,2,NA,3.32,0.91,-0.91,37.3,-8.983560826213864,6.484416508083414,49.98490273707001,35.96548796295743,22.95132655960518,1,0
FF,94.4,-3.24,5.85,field_out,hit_into_play,4,R,R,X,1,1,-0.84,0.93,-0.6570411473572202,2.2347150296960585,8.550705732848218,-137.27707177763708,-5.6735460564753595,-12.401684077277524,25.640450155851884,-19.388488686658647,3.219127297,1.624606299,97,95.1,2256,6.4,54.09,39,3,4-Seam Fastball,Standard,Standard,213,77.5,7.8,27,25,3,2,NA,1.6,0.84,0.84,43,15.435735180995994,-16.281717668318567,38.598834676057386,23.436881542402674,31.09325429970138,1,1
FF,95,-1,6.28,field_out,hit_into_play,11,R,R,X,1,1,-0.45,1.63,-0.926026000209608,2.4242191675729736,1.2049901110699184,-138.20644305861418,-7.913188663982915,-6.018445404034917,31.7851567099966,-9.729932552048805,3.12960958,1.579429134,98.4,95,2320,6.4,54.13,46,3,4-Seam Fastball,Standard,Standard,203,68.6,7.2,25,30,3,2,NA,0.9,0.45,0.45,55.3,13.26325637724243,-5.601077463606443,37.34600778054345,26.666419735289104,36.19921962241591,1,1
CU,77.6,-1.2,5.56,double,hit_into_play,5,R,R,X,2,0,1.19,-1.35,0.25150970089842906,2.629398364671083,0.858263012406741,-112.72090862064016,3.561182024809054,9.759991220331043,24.71230693584556,-44.52546468130349,3.267396654,1.648966535,99.9,77.2,2925,6.6,53.93,45,3,Curveball,Standard,Standard,43,68.7,6.5,28,37,3,2,NA,5.21,-1.19,-1.19,50,10.23300602471025,16.692040515904036,32.48448463551325,37.949952065486144,17.97004603466621,1,0
SI,96.9,-1.9,5.89,field_out,hit_into_play,6,R,R,X,0,0,-1.65,1.06,0.29852580842580045,2.357917178389801,9.62392376315496,-140.58086646368787,-6.0672715925307195,-24.05600413383586,34.27345003079307,-16.894196418244267,3.298113517,1.664468504,100,96.5,2327,6.4,54.11,55,1,Sinker,Infield shade,Standard,234,74.4,6.8,31,25,3,2,NA,1.4,1.65,1.65,37.8,-9.108527468253524,10.75857826206014,33.764388764788634,40.19943176820249,21.634475553092997,1,1
SI,89.6,-0.57,6.03,double,hit_into_play,5,R,R,X,1,1,-1.11,1.2,0.03578631038492164,2.2022910931423887,3.8285120105071746,-130.39416785868312,-5.803151458966452,-13.527595469763792,25.83205866972966,-17.454403212745664,3.083095472,1.555954724,104.6,89.2,2326,5.9,54.59,38,3,Sinker,Standard,Standard,211,72.8,7,31,30,2,1,NA,1.62,1.11,1.11,38.9,12.180060264697266,-8.748069830770524,31.860169363577665,31.17235141942716,35.0629823927069,1,0
FF,97.9,-2.01,5.12,single,hit_into_play,5,R,R,X,3,1,-0.76,1.4,-0.1144094906226708,2.6327343308519975,6.99569409917993,-142.36691734190612,-4.364948010604841,-12.039569676690164,35.473440321583695,-12.377998545820317,3.110301837,1.569685039,98.2,99.8,2634,7.6,52.92,34,5,4-Seam Fastball,Standard,Standard,222,71.9,7.9,24,26,2,1,NA,1,0.76,0.76,27.7,14.504627812173602,-11.116767801817426,32.99608960594345,33.83412852615574,34.75619772219285,1,0
ST,83.7,-3.05,5.42,single,hit_into_play,5,R,R,X,0,1,0.97,0.59,0.26738594531646065,2.5457314588407134,5.650520828774947,-121.74252450506532,-1.0809770116504918,8.218131537321858,28.126279168768853,-26.37562225961088,3.346382874,1.68882874,100.7,83.8,2353,6.8,53.7,40,2,Sweeper,Standard,Standard,87,74.6,7.3,24,27,3,2,NA,2.71,-0.97,-0.97,22.9,10.959633299488273,-5.698095677717259,28.747555404034404,39.17554008615008,39.4067777048174,1,0
FS,87.6,-2.26,5.68,field_out,hit_into_play,5,R,R,X,3,2,-0.94,-0.06,-0.036782372623042514,2.829596070213391,7.351516727513431,-127.3820747942788,-0.3559616837540984,-11.797582999517854,28.89765956109232,-32.97704053045693,3.377977362,1.704773622,100.7,88.1,1345,6.9,53.6,34,6,Split-Finger,Standard,Standard,235,79.3,6.8,36,26,3,2,NA,3.06,0.94,0.94,37,3.796528821658498,10.354796092332004,22.89217920121294,38.808466729659706,26.993042080211332,1,1
